;meta[language=cleartext]
; id      |key(hex)|key(str)| text
2118472000||skill_desc_sword_s1|耐力消耗减少 $I$%。<br>受到的近战伤害减少 $I$%。<br>回旋剑舞时受到攻击有 $I$% 的几率避免硬直。
2118472001||skill_desc_sword_s3|提高 $I$% 的防御效率。<br>减少 $I$% 反击和完美格挡时受到的伤害<br>格挡人类体型敌人的攻击时有 $I$% 的几率避免硬直。
2118472002||skill_desc_sword_s5|速攻的致残几率增加 $I$%。<br>速攻可减速敌人 $F$%，最高叠加至 $F$%。<br>敌人的速度将在受到伤害 $I$ 秒后开始恢复。
2118472003||skill_name_sword_s6|破甲重击
2118472004||skill_desc_sword_s6|强击造成 $I$% 的额外平衡伤害。<br>强击可无视敌人防御造成 $I$% 伤害。
2118472005||skill_desc_sword_s10|受伤几率降低 $F$%。<br>受到后方攻击时的平衡值损失降低至 $F$%。<br>弹开或反射飞行物的耐力与平衡消耗减少 $F$%。
2118472006||skill_name_sword_s9|闪转腾挪
2118472007||skill_desc_sword_s9|增加 $I$% 的移动效率。<br>减少 $I$% 的边缘伤害。<br>闪避过程中有 $I$% 的几率避免硬直。
2118472008||skill_name_sword_s13|稳定射击
2118472009||skill_desc_sword_s13|远程伤害增加 $I$%。<br>远程武器瞄准过程中时间流逝减缓 $I$%。
2118472010||skill_desc_sword_s16|对硬直效果的抗性增加 $I$%。<br>低耐力值状态下的缓速惩罚减轻 $I$%。<br>低活力值状态下法印强度衰减惩罚减轻 $I$%。
2118472011||skill_desc_magic_s1|替换法印模式的伤害提升至标准模式伤害的 $I$%。<br>击退效果增加 $I$%。
2118472012||skill_desc_magic_s2|替换法印模式能够减缓敌人 $F$% 并造成 $F$ 点伤害。<br>对处于燃烧状态的敌人造成 $I$% 伤害。<br>活力消耗减少 $I$%。
2118472013||skill_desc_magic_s3|替换法印模式能够造成 $I$ 点伤害，视技能等级和敌人平衡数值，还有几率打断攻击。<br>每个目标每 $F$ 秒只会被击中一次。
2118472014||skill_desc_magic_s4|替换法印模式吸收伤害的同时也会恢复耐力。抵挡攻击所需的活力减少 $I$%。<br>维持主动护盾时的耐力恢复效果提升 $I$%。
2118472015||skill_desc_magic_s5|替换法印模式会催眠目标使其成为魔偶，持续 $I$ 秒。<br>基础成功率为 $I$%，每存在一个魔偶 -$I$% 成功率。<br>与魔偶作战的敌人损失 $I$ 点士气。<br>目标生命值低于 $I$% 时效果可能会被打破。
2118472016||skill_name_alchemy_s1|精炼提纯
2118472017||skill_desc_alchemy_s1|蒸馏基础物质的产量提升 $I$%。<br>黑化粉效力提升 $I$%。
2118472018||skill_name_alchemy_s2|耐毒增强
2118472019||skill_desc_alchemy_s2|服用多种魔药时的毒性累积减少至 $I$%。<br>白化粉效力提升 $I$%。
2118472020||skill_name_alchemy_s3|爽脑魔药
2118472021||skill_desc_alchemy_s3|服用魔药（除了白蜂蜜）还会恢复 $I$% 的生命值。<br>赤化粉效力提升 $I$%。
2118472022||skill_name_alchemy_s4|毒副作用
2118472023||skill_desc_alchemy_s4|魔药的持续时间增加  $I$%。<br>魔药的毒性增加 $I$%。
2118472024||skill_desc_alchemy_s12|涂抹的剑油效力增加 $I$%。<br>剑油在使用过程中的效力流失减少 $I$%。
2118472025||skill_name_alchemy_s5|剑油加固
2118472026||skill_desc_alchemy_s5|涂抹的剑油持续时间增加 $I$%。<br>剑油最多也能减缓 $I$% 的武器耐久度损耗。
2118472027||skill_name_alchemy_s6|剧毒剑刃
2118472028||skill_desc_alchemy_s6|敌人的每层流血状态都会提升 $I$% 的剑油效果。<br>敌人的每层流血状态也会减少 $I$% 的剑油效力流失几率。
2118472029||skill_desc_alchemy_s9|炸弹的最大投掷距离增加 $I$%。<br>炸弹瞄准过程中时间流逝减缓 $I$%。
2118472030||skill_name_alchemy_s18|相性保护
2118472031||skill_desc_alchemy_s18|煎药生效时，你受到对应群族怪物的伤害也会减少 $I$%。<br>Active Mutations reduce damage taken from monsters of that family by $I$%.<br>Researched Mutations reduce damage taken from monsters of that family by $I$%.
2118472032||skill_name_alchemy_s13|狩猎本能
2118472033||skill_desc_alchemy_s13|装备大型诱发突变物时，你对相应群族怪物的伤害每阶提升 $I$%。<br>Active Mutations increase damage dealt to monsters of that family by $I$%.<br>Researched Mutations increase damage dealt to monsters of that family by $I$%.
2118472034||skill_name_alchemy_s19|Acclimation
2118472035||skill_name_alchemy_s14|适应作用
2118472036||skill_desc_alchemy_s14|所有突变煎药的效果持续时间延长 $I$%，毒性降低 $I$ 点。<br>在炼金的过程中有 $I$% 的几率获得常规突变诱发物作为附加产物。
2118472037||skill_desc_alchemy_s16|视当前毒性百分比最高可提升 $I$% 的速度。<br>视当前毒性百分比最高可提升 $I$% 的肾上腺素分泌速度。
2118472038||skill_desc_alchemy_s20|视当前毒性百分比最多可减少 $I$% 所受伤害。<br>视当前毒性百分比最多可减少 $I$% 平衡数值消耗。
2118472039||skill_name_alchemy_s15|代谢控制
2118472040||skill_desc_alchemy_s15|毒热状态的持续时间降低 $I$ 秒。<br>毒性过量造成的伤害降低 $I$%。
2118472041||skill_name_alchemy_s17|加速代谢
2118472042||skill_desc_alchemy_s17|毒性排出速度增加 $I$%。<br>毒性造成的活力再生衰减效果降低 $I$%。
2118472043||skill_name_perk_2|骑手
2118472044||skill_desc_perk_2|骑行过程中造成的伤害增加 $I$%<br>马匹受惊程度降低 $I$%<br>马匹冲刺的耐力消耗降低 $I$%
2118472045||skill_name_perk_4|生态研究
2118472046||skill_desc_perk_4|从怪物和植物上可获得的炼金原料增加 $I$%。
2118472047||skill_desc_perk_5|每装备一件轻甲：<br>安全闪避角度 +$I$ 点<br>肾上腺素分泌速度 +$F$%<br>受伤几率 -$F$%
