;meta[language=cz]
; id      |key(hex)|key(str)| text
; previously translated lines in need of retranslation: 010,014,015,017,019,021,023,029,054,056,061,066,076,078,099,236
2118472000|1f70c020||Spotřebovává o $I$ % méně výdrže.<br>Příchozí poškození nablízko je o $I$ % nižší.<br>Máš $I$% šanci, že utržené zranění při provádění talentu Vír tě již nevyvede z rovnováhy.
2118472001|1f70c022||Zvyšuje účinnost výdrže v obraně o $I$ %.<br>Snižuje utrpěné poškození při provádění protiúderu a dokonalého parírování o $I$ %.<br>Máš $I$% šanci na vyhnutí se účinkům vrávorání při parírování.
2118472002|1f70c024||Rychlé údery mají o $I$ % větší šanci na způsobení zranění,<br>Rychlé údery snižují protivníkovu rychlost o $F$ %, maximálně o $F$ %.<br>Protivníkova rychlost se obnoví, pokud během $I$ sekund neobdrží žádné poškození.
2118472003|bcff1d6b||Rozpolcující úder
2118472004|1f70c025||Silné údery způsobí o $I$ % větší poškození rovnováze protivníka.<br>Když protivník úder odrazí, tak máš $I$% šanci k prolomení jeho obrany.
2118472005|cea74410||Šance na obdržení zranění je o $F$ % nižší.<br>Máš $F$% šanci na parírování útoků zezadu.<br>Odrážení a přesměrování šípů spotřebovává o $F$ % méně výdrže.<br>Přesměrované šípy působí o $F$ % větší poškození.
2118472006|bcff1d6e||Práce nohou
2118472007|1f70c028||Zvyšuje účinnost výdrže při pohybu o $I$ %.<br>Snižuje poškození utrpěné škrábancem o $I$ %.<br>Máš $I$% šanci na vyhnutí se účinkům vrávorání během uskakování.
2118472008|e2e48f8d||Ostrostřelec
2118472009|cea74413||Poškození na dálku se zvýší o $I$ %.<br>Při míření zbraní na dálku se čas zpomalí o $I$ %.
2118472010|cea74416||Snižuje spotřebu rovnováhy během obranných akcí (kromě protiúderů) o $I$ %.<br>Snižuje penalizaci rychlosti z nízké výdrže o $I$ %.<br>Snižuje penalizaci síly znamení z nízké energie o $I$ %.
2118472011|163a8e70||Alternativní režim znamení:<br>Aard udeří v kruhu se zvýšeným zpětným rázem, ale menším poškozením.<br>Poškození se zvyšuje na $I$% poškození Aardu.<br>Síla zpětného rázu se zvyšuje o $I$ %.
2118472012|163a8e71||Alternativní režim znamení:<br>Vyvolá nepřetržitý proud ohně, který způsobí $F$ poškození a zpomalí protivníky o $F$ %.<br>Působí $I$% poškození hořícím nepřátelům.<br>Čerpá o $I$ % méně energie.
2118472013|163a8e72||Alternativní režim znamení:<br>Vytvoří ochranný glyf, který zasáhne protivníky, kteří útočí proti Geraltovi.<br>Způsobí $I$ poškození a má šanci nepřátelský útok přerušit - pravděpodobnost závisí na úrovni schopnosti a rovnováze nepřítele. Každý cíl může být zasažen jednou za $F$ s.<br>Ničí šípy a šipky letící touto oblastí.
2118472014|163a8e73||Alternativní režim znamení:<br>Vytvoří aktivní štít. Jeho udržování a odrážení úderů spotřebovává energii.<br>Poškození vstřebané štítem obnovuje výdrž a zvyšuje adrenalin.<br>Čerpá o $I$ % méně energie.
2118472015|163a8e74||Alternativní režim znamení:<br>Ze zaměřeného nepřítele se na $I$ sekund stane spojenec.<br>Základní šance na úspěch: $I$ %, -$I$ % za stávajícího nepřítele pod vlivem alternativního Axie.<br>Nepřátelé, kteří útočí nebo jsou napadeni alternativním Axie, ztratí $I$ morálky.<br>Účinek lze přerušit, pokud zdraví cíle klesne pod $I$ %.
2118472016|0083ce62||Rozpuštění
2118472017|8d17aa9c||Zvyšuje výnos při destilaci esencí o $F$.<br>Zvyšuje účinnost nigreda o $I$ %.
2118472018|0083ce63||Očištění
2118472019|8d17aa9d||Snižuje nárust toxicity po vypití více elixírů na $I$ %.<br>Zvyšuje účinnost albeda o $I$ %.
2118472020|0083ce64||Srážlivost
2118472021|8d17aa9e||Vypití elixírů (kromě Bílého medu) obnoví $I$ % zdraví.<br>Zvyšuje účinnost rubeda o $I$ %.
2118472022|0083ce65||Nasycení
2118472023|8d17aa9f||Prodlužuje trvání elixírů o $I$ % a trvání sekundární substance o $I$ %.
2118472024|15dda916||Oleje natřené na mečích jsou o $I$ % silnější a při stírání ztrácejí o $I$ % méně účinnosti.
2118472025|0083ce66||Ustalovač
2118472026|8d17aaa0||Oleje natřené na mečích vydrží o $I$ % déle a snižují ztrátu odolnosti zbraně až o $I$ %.
2118472027|0083ce67||Transfúze
2118472028|8d17aaa1||Účinky olejů se zvyšují o $I$ % za úroveň krvácení nepřítele.<br>Máš $I$% šanci za úroveň krvácení nepřítele, že oleje na mečích neztratí žádnou dávku.
2118472029|8d17aaa4||Zvyšuje maximální vrhací vzdálenost petard o $I$ %.<br>Při míření petard se čas zpomalí o $I$ %.
2118472030|0ff5fe16||Spřízněnost
2118472031|15dda91c||Aktivní odvary snižují o $I$ % poškození způsobené příšerami, ze kterých je odvar vyroben.<br>Active Mutations reduce damage taken from monsters of that family by $I$%.<br>Researched Mutations reduce damage taken from monsters of that family by $I$%.
2118472032|0ff5fe11||Instinkt lovce
2118472033|15dda917||Vybavené arcimutageny zvyšují o $I$ % za úroveň poškození způsobené příšerám, ze kterých jsou arcimutageny vyrobeny či získány.<br>Active Mutations increase damage dealt to monsters of that family by $I$%.<br>Researched Mutations increase damage dealt to monsters of that family by $I$%.
2118472034|0ff5fe17||Acclimation
2118472035|0ff5fe12||Vylepšená alchymie
2118472036|15dda918||Prodlužuje dobu trvání účinku všech mutagenových odvarů o $I$ % a snižuje jejich toxicitu o $I$.<br>Máš $I$% šanci na získání běžných mutagenů coby vedlejšího produktu alchymie.
2118472037|15dda91a||Zvyšuje rychlost až o $I$ % na základě současné úrovně toxicity.<br>Zvyšuje produkci adrenalinu až o $I$ % na základě současné úrovně toxicity.
2118472038|15dda933||Snižuje utrpěné poškození až o $I$ % na základě současné úrovně toxicity.<br>Snižuje spotřebu rovnováhy až o $I$ % na základě současné úrovně toxicity.
2118472039|0ff5fe13||Zvýšená snášenlivost
2118472040|15dda919||Snižuje účinky probíhající toxické horečky o $I$ %.<br>Snižuje poškození způsobené toxickým předávkováním o $I$ %.
2118472041|0ff5fe15||Ovládání metabolismu
2118472042|15dda91b||Zrychluje spotřebu toxicity o $I$ %.<br>Snižuje penalizaci za obnovu energie při vysoké toxicitě o $I$ %.
2118472043|306f5267||Jezdec
2118472044|da7e5ba1||Zvyšuje poškození při jízdě na koni o $I$ %.<br>Snižuje paniku koně o $I$ %.<br>Jízda tryskem spotřebovává o $I$ % méně výdrže.
2118472045|306f5269||Alchymistický výzkum
2118472046|da7e5ba3||Zvyšuje alchymistickou kořist z příšer a bylinek o $I$ %.
2118472047|da7e5ba4||Každá vybavená část lehké zbroje poskytuje:<br>o $I$ stupňů větší bezpečný úhel úskoku<br>o $F$ % rychlejší produkci adrenalinu<br>o $F$ % menší šanci na obdržení zranění.
2118472048|da7e5ba5||Každá vybavená část střední zbroje poskytuje:<br>o $I$ % větší odolnost vůči negativním účinkům<br>o $F$ % menší prodlevu obnovy výdrže<br>o $F$ % menší prodlevu obnovy rovnováhy.
2118472049|da7e5ba6||Každá vybavená část těžké zbroje poskytuje:<br>+$F$ bodů k obnově výdrže<br>+$F$ bodů k obnově rovnováhy<br>+$F$% šanci na sražení protivníka k zemi při provádění dokonalých parírování a protiúderů odstrčením.
2118472050|754d1890||Na začátku souboje získáš $I$ adrenalinu a při parírování jej můžeš vytvářet.
2118472051|dd7afa8b||Rána z milosti
2118472052|754d1891||Šance na kritický zásah se zvyšuje o $I$ % za každé zranění nepřítele.<br>Zvyšuje bonusovou šanci, že kritický zásah způsobí zranění na $I$ %.
2118472053|dd7afa8c||Alchymistické čištění
2118472054|754d1892||Při výrobě kvalitnějších alchymistických produktů můžeš nyní použít $I$ přísadu s horší kvalitou.
2118472055|dd7afa8d||Rychlonožka
2118472056|754d1893||Zvyšuje rychlost sprintu o $I$ %.<br>Zvyšuje rychlost uhýbání o $I$ %.
2118472057|754d1895||Blahodárné účinky jídla a pití trvají o $I$ % déle.<br>Za dobré nasycení a hydratování získáš $I$ bodů zdraví.
2118472058|dd7afa90||Rozmisťování
2118472059|754d1896||Zvyšuje útočnou sílu úderů z boku o $I$ %.<br>Zvyšuje bezpečný úhel úskoku o $I$.
2118472060|dd7afa92||Pokročilá údržba
2118472061|754d1898||Účinky údržby vybavení trvají dvakrát déle.<br>Opravné sady také dočasně vylepšují vybavení.
2118472062|dd7afa93||Lovec
2118472063|754d1899||Zvyšuje poškození proti cílům ze zakázek na příšery o $I$ %.<br>Trofeje se prodávají o $I$ % více.
2118472064|dd7afaaa||Rváč
2118472065|754d18b0||Přidává zbroj pěstnic k neozbrojenému poškození.<br>Odstraňuje penalizaci neozbrojeného poškození proti příšerám.<br>Zvyšuje rovnováhu o $I$.
2118472066|754d18b1||Maximální kapacita inventáře se zvyšuje o $I$.<br>Penalizace z vybavené zbroje jsou sníženy o $I$ %.
2118472067|cea74418||Když zdraví klesne pod $F$ %, pak každý aktuálně dostupný bod adrenalinu zrychlí obnovu zdraví až o $F$ b. a sníží utrpěné poškození až o $F$ b.
2118472068|6dcf4535||Mutační dovednostní body potřebné k odemčení
2118472069|09e37be1||Spotřeba toxicity
2118472070|9ac99c6f||Poškození nadpřirozeným bytostem
2118472071|d083d32c||Poškození mrazem
2118472072|3ff69286||Šance na ochlazení
2118472073|1935a008||Poškození jedem
2118472074|1b47b2ca||Šance na zranění
2118472075|4daea6a8||Šance na vrávorání
2118472076|8cda7a5f||Dwimerit v Závojovém oleji dočasně brání přízrakům v regeneraci jejich esence.<br>Regeneraci pozastaví na $S$ sekundy.
2118472077|252e4c38||Ačkoliv byl tento olej původně vyvinut jako nástroj pro uspokojení Falčiny krutosti, jeho výhodné vlastnosti během boje značně převažují nad jeho neetickým používáním.
