;meta[language=hu]
; id      |key(hex)|key(str)| text
2118472000||skill_desc_sword_s1|Consumes $I$% less Stamina.<br>Incoming melee damage is reduced by $I$%.<br>$I$% chance that taking damage while whirling will not cause stagger.
2118472001||skill_desc_sword_s3|Increases defense efficiency by $I$%.<br>Reduces the damage received through counters and perfect parries by $I$%.<br>$I$% chance to avoid stagger effects while parrying attacks from human-sized enemies.
2118472002||skill_desc_sword_s5|Fast attacks have a $I$% higher chance of inflicting injuries.<br>Fast attacks reduce enemy speed by $F$%, to a maximum of $F$%.<br>Enemy speed recovers after not taking damage for $I$ seconds.
2118472003||skill_name_sword_s6|Sundering Strikes
2118472004||skill_desc_sword_s6|Strong attacks deal $I$% more poise damage.<br>Strong attacks deal $I$% damage through enemy blocks.
2118472005||skill_desc_sword_s10|Chance of receiving injuries is $F$% lower.<br>Poise costs when attacked from behind reduced to $F$%.<br>Deflecting and redirecting projectiles costs $F$% less stamina and poise.
2118472006||skill_name_sword_s9|Footwork
2118472007||skill_desc_sword_s9|Increases movement efficiency by $I$%.<br>Reduces graze damage received by $I$%.<br>$I$% chance to avoid stagger effects while dodging.
2118472008||skill_name_sword_s13|Steady Shot
2118472009||skill_desc_sword_s13|Ranged damage is increased by $I$%.<br>Time slow while aiming ranged weapons is increased to $I$%.
2118472010||skill_desc_sword_s16|Increases the chance of resisting stagger effects by $I$%.<br>Lowers the speed malus from low Stamina by $I$%.<br>Lowers the Sign Intensity malus from low Vigor by $I$%.
2118472011||skill_desc_magic_s1|Alternate Sign Mode:<br>Aard strikes in a circle, but with decreased damage and knockback.<br>Damage reduction lowered to $I$%.<br>Knockback power reduction lowered to $I$%.
2118472012||skill_desc_magic_s2|Alternate Sign Mode:<br>Emits a continuous stream of fire dealing $F$ damage and slowing opponents by $F$%.<br>Deals $I$% damage to burning enemies.<br>Vigor cost is reduced by $I$%.
2118472013||skill_desc_magic_s3|Alternate Sign Mode:<br>Creates a protective glyph that shocks opponents who take offensive actions against Geralt.<br>Deals $I$ damage and has a chance to interrupt attacks based on skill level and enemy poise. Each target can be hit once every $F$ seconds.<br>Destroys arrows and bolts passing through the area.
2118472014||skill_desc_magic_s4|Alternate Sign Mode:<br>Creates an active shield. Maintaining it and blocking attacks drains Vigor.<br>Damage absorbed by the shield restores Stamina.<br>Reduces the vigor cost of blocked attacks by $I$%.<br>Increases Stamina restored by $I$%.
2118472015||skill_desc_magic_s5|Alternate Sign Mode:<br>Targeted enemy becomes an ally for $I$ seconds.<br>Base success chance of $I$%, -$I$% per current puppet.<br>Enemies that attack or are attacked by a puppet lose $I$ morale.<br>Effect may be broken when the target's health falls below $I$%.
2118472016||skill_name_alchemy_s1|Dissolution
2118472017||skill_desc_alchemy_s1|Increases yield when distilling essences by $I$%.<br>Increases Nigredo magnitude and duration by $I$%.
2118472018||skill_name_alchemy_s2|Purification
2118472019||skill_desc_alchemy_s2|Reduces the toxicity increase from imbibing multiple potions to $I$%.<br>Increases Albedo magnitude and duration by $I$%.
2118472020||skill_name_alchemy_s3|Coagulation
2118472021||skill_desc_alchemy_s3|Potions (except White Honey) restore $I$% of Vitality when imbibed.<br>Increases Rubedo magnitude and duration by $I$%.
2118472022||skill_name_alchemy_s4|Saturation
2118472023||skill_desc_alchemy_s4|Increases the duration of potions by $I$%.<br>Increases the toxicity of potions by $I$%.
2118472024||skill_desc_alchemy_s12|Applied blade oils are $I$% more powerful.<br>Your applied blade oils lose $I$% less potency as they run out.
2118472025||skill_name_alchemy_s5|Fixative
2118472026||skill_desc_alchemy_s5|Applied blade oils last $I$% longer.<br>Applied blade oils reduce weapon durability loss by up to $I$%.
2118472027||skill_name_alchemy_s6|Transfusion
2118472028||skill_desc_alchemy_s6|Oil effects are increased by $I$% per enemy bleed level.<br>$I$% chance per enemy bleed level that applied blade oils will not lose charge.
2118472029||skill_desc_alchemy_s9|Increases the maximum throw distance of bombs by $I$%.<br>Time slow while aiming bombs is increased to $I$%.
2118472030||skill_name_alchemy_s18|Affinity
2118472031||skill_desc_alchemy_s18|Active Decoctions reduce damage taken from monsters of that family by $I$%.<br>Active Mutations reduce damage taken from monsters of that family by $I$%.<br>Researched Mutations reduce damage taken from monsters of that family by $I$%.
2118472032||skill_name_alchemy_s13|Hunter Instinct
2118472033||skill_desc_alchemy_s13|Equipped Archmutagens increase damage dealt to monsters of that family by $I$% per tier.<br>Active Mutations increase damage dealt to monsters of that family by $I$%.<br>Researched Mutations increase damage dealt to monsters of that family by $I$%.
2118472034||skill_name_alchemy_s19|Acclimation
2118472035||skill_name_alchemy_s14|Strain Isolation
2118472036||skill_desc_alchemy_s14|Extends effective duration of all mutagen decoctions by $I$% and lowers their toxicity by $I$.<br>$I$% chance of obtaining regular mutagens as a by-product of alchemy.
2118472037||skill_desc_alchemy_s16|Increases speed by up to $I$% based on the current Toxicity percentage.<br>Increases Adrenaline generation by up to $I$% based on the current Toxicity percentage.
2118472038||skill_desc_alchemy_s20|Reduces damage taken by up to $I$% based on the current Toxicity percentage.<br>Reduces Poise costs by up to $I$% based on the current Toxicity percentage.
2118472039||skill_name_alchemy_s15|Heightened Tolerance
2118472040||skill_desc_alchemy_s15|Reduces the ongoing effects of Toxicity Fever by $I$%.<br>Reduces the damage taken from Toxicity overflow by $I$%.
2118472041||skill_name_alchemy_s17|Metabolic Control
2118472042||skill_desc_alchemy_s17|Increases Toxicity drain by $I$%.<br>Lowers the vigor regeneration malus from toxicity by $I$%.
2118472043||skill_name_perk_2|Horseman
2118472044||skill_desc_perk_2|Increases damage from horseback by $I$%.<br>Reduces mount fear by $I$%.<br>Galloping drains $I$% less stamina.
2118472045||skill_name_perk_4|Alchemical Studies
2118472046||skill_desc_perk_4|Increases alchemical loot from monsters and herbs by $I$%.
2118472047||skill_desc_perk_5|For each equipped piece of light armor:<br>+$I$ safe dodge angle<br>+$F$% adrenaline generation<br>-$F$% received injury chance.
2118472048||skill_desc_perk_6|For each equipped piece of medium armor:<br>+$I$% secondary resistances<br>-$F$% stamina regeneration delay<br>-$F$% poise regeneration delay.
2118472049||skill_desc_perk_7|For each equipped piece of heavy armor:<br>+$F$ stamina regeneration<br>+$F$ poise regeneration<br>+$F$% knockdown chance when performing perfect parries and bash counters.
2118472050||skill_desc_perk_10|Gain $I$ Adrenaline at the start of combat, and allows parries to generate Adrenaline.
2118472051||skill_name_perk_11|Coup de Grâce
2118472052||skill_desc_perk_11|Critical hit chance is increased by $I$% per enemy injury.<br>Critical hits now multiply injury chance by $F$, up from $F$.
2118472053||skill_name_perk_12|Alchemical Refinement
2118472054||skill_desc_perk_12|When brewing potions, oils, or bombs, one contaminated or quality ingredient will be treated as $I$ quality level higher.
2118472055||skill_name_perk_13|Fleet Footed
2118472056||skill_desc_perk_13|Increases movement speed by $I$%.<br>Sprinting in combat will not drain stamina for the first $I$ seconds.
2118472057||skill_desc_perk_15|Beneficial effects from food and drinks last for $I$% longer.<br>While both well-fed and well-hydrated you gain $I$ Vitality.
2118472058||skill_name_perk_16|Positioning
2118472059||skill_desc_perk_16|Increases flanking attack power by $I$%.<br>Increases safe dodge angle by $I$.
2118472060||skill_name_perk_18|Advanced Maintenance
2118472061||skill_desc_perk_18|Equipment maintenance buffs last twice as long.<br>Repair kits apply maintenance buffs.<br>$I$% chance a repair kit will not be consumed on use.
2118472062||skill_name_perk_19|Huntsman
2118472063||skill_desc_perk_19|Increases damage against targets of monster contracts by $I$%.<br>Trophies sell for $I$% more.
2118472064||skill_name_perk_21|Brawler
2118472065||skill_desc_perk_21|Adds gauntlet armor to unarmed damage.<br>Removes unarmed damage penalty against monsters.<br>Increases Poise by $I$.
2118472066||skill_desc_perk_22|Maximum carry weight is increased by $I$.<br>Penalties from equipped armor are reduced by $I$%.
2118472067||skill_desc_sword_s18|As Vitality falls below $F$%, each point of Adrenaline increases Vitality Regeneration by up to $F$ and reduces damage taken by up to $F$.
2118472068||panel_character_tooltip_mutagen_locked_desc|Acclimation skill level to unlock
2118472069||attribute_name_toxicity_drain|Toxicity Drain
2118472070||attribute_name_oil_silver_tooltip|Damage to Supernaturals
2118472071||attribute_name_oil_frost_damage_tooltip|Frost damage
2118472072||attribute_name_oil_frost_damage_tooltip2|Chance to chill
2118472073||attribute_name_oil_poison_tooltip2|Poison damage
2118472074||attribute_name_oil_falka_injury_chance_tooltip|Injury chance
2118472075||attribute_name_oil_falka_injury_chance_tooltip2|Stagger chance
2118472076||item_desc_ethereal_oil|The dimeritium in veil oil temporarily prevents some magical and supernatural abilities.<br>Blocks abilities for $S$ seconds.
2118472077||item_desc_falka_oil|Though originally developed as a tool for Falka's cruelties, the ethics of using this oil are easily overshadowed by its applications on the path.
2118472078||item_desc_silver_oil|A grease with specks of silver, allowing steel swords to damage supernatural creatures and causing them silver burns that halt their regeneration.<br>Burns supernatural creatures for $S$ seconds, dealing $S$ damage per second.
2118472079||item_desc_black_blood_1|Increases resistance to bleeding. When damaged by Vampires or Necrophages, they take damage and poise damage in return.
2118472080||item_desc_black_blood_2|Increases resistance to bleeding. When damaged by Vampires or Necrophages, they take damage and poise damage in return.
2118472081||item_desc_black_blood_3|Increases resistance to bleeding. When damaged by Vampires or Necrophages, they take damage and poise damage in return.<br><br>Superior potion: poisons enemies based on returned damage.
2118472082||item_desc_blizzard_1|Increases adrenaline generation, and when an enemy begins an attack, time slows for a short period.
