;meta[language=ru]
; id      |key(hex)|key(str)| text
1049912|c32e766a||Доп. урон при крит. ударе
2116942887|1d79d063||Сопротив. эфирному урону
174122|9ca6529f||Урон
1083714|28838f82||Бронебойность
1083755|fc2c4616||Вероятность кровотечения
1083759|27ee5c6a||Вероятность отравления
1083760|44d541d2||Вероятность оглушения
2116943087|871c3b6a||Вероятность обморожения
1083761|bea9630b||Вероятность выбить из стойки
2116942737||attribute_name_injury_chance|Вероятность увечья
2116942946||attribute_name_oil_poison_tooltip|Вероятность отравления
2116942945||attribute_name_oil_bleed_tooltip|Вероятность кровотечения
2116942746||attribute_name_poise_damage|Урон стойкости
2116943365||attribute_name_damage_from_behind_off|Тыловой урон
2116943366||attribute_name_damage_from_behind_def|Снижение тылового урона
1066172||6b233c39|Снаряжение укреплено.
2116942738||attribute_name_parry_stamina_cost_bonus|Оборон. бережливость
2116942739||attribute_name_attack_stamina_cost_bonus|Наступатель. бережливость
2116943368||attribute_name_movement_stamina_efficiency|Двигательная бережливость
2116942982||attribute_name_armor_stamina_efficiency|Бережливость выносливости
2116942983||attribute_name_armor_regen_penalty|Восстановление выносливости
2116942049|e2e48f8a||Обострённые чувства
2116942981|0083ce69||Подрывник
2119067196||attribute_name_active_toxicity_drain|Снижение текущей токсичности
2119067197||attribute_name_dormant_toxicity_drain|Снижение расчётной токсичности
2116942157||W3EE_ToxActiveDegenMult|Токсичность - Скорость убывания текущей токсичности
2116942158||W3EE_ToxDormantDegenMult|Токсичность - Скорость убывания расчётной токсичности
2116942948||attribute_name_oil_frost_damage|Морозный урон
2116943214||item_desc_chilling_bolt|Наносит морозный урон и обмораживает цель. 
2116943331||attribute_name_damage_negation_defense|Снижение сквозного урона
2119067183|363f99af||Квен защищает от сквозного урона. 
2116942742||attribute_name_damage_through_blocks|Сквозной урон
2116942768||attribute_name_graze_damage_reduction|Сопротивляемость касательному урону
2116942119||W3EE_ParryHeavyAttackStagger|Блок - Устойчивость к тяжелым ударам
2116942203||W3EE_DPLongStagger|Смертельная точность - Вероятность длительной потери устойчивости
2116942204||W3EE_DPStagger|Смертельная точность - Вероятность потери устойчивости
2116942324||W3EE_StrTrainingSkill|Тяжелые удары становятся на $I$% быстрее и выбивают врагов из стойки на $I$% чаще. 
2116942607||W3EE_CripplingShot2|Дальний бой на $I$% чаще вызывает кровотечение.<br>Дальнобойный критический урон с вероятностью $I$% выбивает противника из стойки.
2116942850|c5548b42||Узы
2116942848||W3EE_AxiiLink|Аксий может одурманить до $I$ врагов. Первичная вероятность успеха при этом снижается на $I$% за каждого врага.<br>Такие враги связываются узами, и когда вы наносите одному из них урон, с вероятностью $I$% этот урон получат и остальные; а когда выбиваете из стойки или сваливаете с ног, это состояние передастся с вероятностью $I$%.
2116943113||W3EE_AardSkill|Телекинетический удар, который наносит врагам урон и выбивает их из стойки.<br><br>Урон Силой: $I$<br>Урон стойкости: $I$%<br>Вероятность оглушения: $I$%
2116943714||GothicDescription|Блокирование неблокируемых ударов теперь пропускает гораздо меньше урона и не выбивает из стойки.
2116943727||GothicDescription2|Стойкость возрастает на 30 ед. Всё, что раньше валило с ног, теперь выбивает из стойки. 
2119067031|00000000||Зажмите <<LockAndGuard>>, чтобы заблокировать удар.<br><br>Блок тратит выносливость, и если она закончится, блок начнёт пропускать часть урона (такой урон называется "сквозным").<br><br>Некоторые удары невозможно блокировать, они всегда выбивают вас из стойки. 
2119067057|6d1ad449||С изувеченной рукой невозможно контратаковать, а с изувеченной ногой вы начнёте спотыкаться. Увечья можно снять, восстановив здоровье до конца.
2116942322||W3EE_RendSkill|Чем больше замах, тем выше вероятность критического урона (до $I$%), бронебойность (до $I$%) и урон (до $I$%).  
2116942327||W3EE_AnKnowlSkill|В дальнем бою бронебойность возрастает на $I$%, вероятность критического урона на $I$%.
2116942328|57ebe535||Бронебойность тяжелых ударов возрастает на $I$%, а их критический урон на $I$%.
2118472000||skill_desc_sword_s1|Во время вихря вы тратите на $I$% меньше выносливости, получаете на $I$% меньше ближнебойного урона и становитесь на $I$% устойчивее.
2118472001||skill_desc_sword_s3|Оборонительная бережливость повышается на $I$%.<br>Точные блоки и контратаки пропускают на $I$% меньше урона.<br>Вы на $I$% устойчивее при блокировании ударов некрупных противников.
2118472002||skill_desc_sword_s5|Легкие удары увечат на $I$% чаще.<br>Каждый лёгкий удар замедляет противника на $F$%.<br>Итоговое замедление не превышает $F$% и пропадает спустя $I$ сек. неполучения урона.
2118472003||skill_name_sword_s6|Рассечение
2118472004||skill_desc_sword_s6|Тяжелые удары сбивают врагу на $I$% больше стойкости.<br>$I$% их урона проходит через блок.
2118472005||skill_desc_sword_s10|Вы получаете увечья на $F$% реже.<br>Вы теряете на $F$% меньше стойкости при получении тылового урона.<br>Точные и обычные отражения стрел тратят на $F$% меньше выносливости и стойкости.
2118472006||skill_name_sword_s9|Работа ногами
2118472007||skill_desc_sword_s9|Двигательная бережливость возрастает на $I$%.<br>Касательный урон снижается на $I$%.<br>Вы на $I$% устойчивее во время уклонения.
2118472008||skill_name_sword_s13|Меткий выстрел
2118472009||skill_desc_sword_s13|Дальнобойный урон повышается на $I$%.<br>Во время прицеливания время замедляется на $I$%.
2118472010||skill_desc_sword_s16|Устойчивость возрастает на $I$%.<br>Нехватка выносливости на $I$% меньше снижает скорость.<br>Нехватка энергии на $I$% меньше ослабляет знаки.
2118472011||skill_desc_magic_s1|Другая форма Знака:<br>Аард бьёт кругóм, но с меньшим уроном и силой удара.<br>Ослабление урона смягчается до $I$%.<br>Ослабление силы удара смягчается до $I$%.
2118472012||skill_desc_magic_s2|Другая форма Знака:<br>Испускает поток огня, наносящий $F$ ед. урона и замедляющий врага на $F$%.<br>Подожженным врагам наносит $I$% урона.<br>Требует на $I$% меньше энергии.
2118472013||skill_desc_magic_s3|Другая форма Знака:<br>Cторожевой глиф, который отгоняет всякого, кто вздумает напасть на вас.<br>Наносит $I$ ед. урона и может прерывать вражеские удары (вероятность зависит от уровня этого навыка и от стойкости врага). Отдельного врага бьет раз в $F$ сек.<br>Сбивает стрелы.
2118472014||skill_desc_magic_s4|Другая форма Знака:<br>Вокруг вас создается защитное поле. Его поддержание и блокирование им ударов истощает энергию.<br>Урон, принятый полем, восполняет выносливость.<br>Поглощение урона тратит на $I$% меньше энергии и восполняет на $I$% больше выносливости.
