;meta[language=es]
; id      |key(hex)|key(str)| text
2116942000|1b06cd08||Cada vez que un enemigo comienza un ataque, el tiempo se ralentiza durante un breve período.
2116942001|1b06cd09||Cada vez que un enemigo comienza un ataque, el tiempo se ralentiza durante un breve período. Duración extendida.
2116942002|1b06cd0a||Cada vez que un enemigo comienza un ataque, el tiempo se ralentiza durante un breve período. Duración extendida.<br>Efecto escala con Adrenalina.
2116942003|27d6f7d6||Aumenta la regeneración de energía.
2116942004|27d6f7d7||Aumenta la regeneración de energía. Duración extendida.
2116942005|27d6f7d8||Aumenta la regeneración de energía. Duración extendida. Se reducen los efectos de la toxicidad en la regeneración de energía.
2116942006|fc92150a||Aumenta el equilibrio en 5 puntos con cada golpe acertado, hasta un máximo de 50 puntos. Cada golpe recibido reduce la bonificación actual en 10 puntos. El efecto se reinicia al salir del combate.
2116942007|d23efdaf||Cuando un escudo de Quen se rompe, existe la posibilidad de que se lance uno nuevo sin coste alguno. La bonificación aumenta en $S$% por cada pieza del juego. La probabilidad actual es: $S$%.
2116942008|fad8f82b||Sirve como arma de plata y de acero.<br>Durabilidad infinita.
2116942009|c43de44b||Aumenta el alcance de Remolino en $S$ metros y Desgarrar en $S$ metros.<br>Lanzar una señal infunde el poder del arma para que se libere en el próximo ataque de Desgarrar o Remolino.<br>Cada muerte causada por Remolino o Desgarrar absorbe una parte del vigor del enemigo.
2116942010|d02fd0a4||Durabilidad infinita.
2116942011|d0344c9e||Duelo - I
2116942012|00000000||Para lanzar una señal, presiona <<CastSign>><br><br>Las señales y algunas otras acciones cuestan energía. Antes de que puedas volver a lanzar una Señal, debes esperar a que tu energía se regenere.<br>Para seleccionar una Señal, puedes usar los atajos de teclado <<SelectAard>> - <<SelectAxii>>
2116942013|00000000||Para lanzar una señal, presiona <<CastSign>><br><br>Las señales y algunas otras acciones cuestan energía. Antes de que puedas volver a lanzar una señal, debes esperar a que tu energía se regenere.
2116942014|00000000||Cuando entras en combate, hay un $I$ por ciento de probabilidad de que obtengas automáticamente un escudo Quen sin usar ningún energía.
2116942015|8ed43e3e||Después de usar energía para lanzar una Señal en su modo estándar, la siguiente Señal lanzada dentro de $S$ segundos se lanzará en modo estándar sin usar energía.
2116942016|00000000||Los ataques por detrás tienen $S$% más de daño y aturden a los oponentes a cambio de $S$ de adrenalina.
2116942017|bcff1d6b||Golpes desgarradores
2116942018|00000000||Energía
2116942019|00000000||El energía se regenera constantemente por sí misma y está influenciada por tu vitalidad y adrenalina.<br><br>Ciertas habilidades que puedes adquirir te permiten realizar acciones especiales que requieren y consumen energía.<br><br>Tu energía disminuye cuando te golpean y se produce un retraso en la regeneración durante un breve periodo de tiempo.
2116942020|05d154d8||Energía
2116942021|07cca517||Ganancia de adrenalina
2116942022|10b5ebbc||Bonus de adrenalina
2116942023|363f99d1||La enería aumenta el daño que infliges. La energía se regenera por sí sola mientras no te golpeen.
2116942024|c1e3a998||La enería se regenera solo mientras no te golpeen y se usa para lanzar señales.
2116942025|c1e4f686||Ganancia de adrenalina
2116942026|754d1899||Trance de combate ahora también aumenta la probabilidad de golpe crítico en $I$% por punto disponible de energía.
2116942027|00000000||Cada punto de energía disponible reduce el daño recibido en $S$% (hasta un máximo de $S$%).
2116942028|874e9f86||Aumenta la velocidad de evasión y el ángulo de esquiva máximo seguro.
2116942029|874e9f87||Aumenta la velocidad de evasión y el ángulo de esquiva máximo seguro. Duración extendida.
2116942030|874e9f88||Aumenta la velocidad de evasión y el ángulo de esquiva máximo seguro. Duración extendida.
2116942031|fbac9e5a||Armadura
2116942032|f9289b86||Duelo - III
2116942033|f9241f8c||El arma causa daño eléctrico etéreo a cualquier cosa con la que entre en contacto, ignorando parte de la armadura enemiga.<br>Sirve como arma de plata y acero.<br>Durabilidad infinita.
2116942034|ccca9b60||Obliteración - I
2116942035|ccc61f66||El arma destella con fuego al contacto con los enemigos y les prende fuego.
2116942036|c4426045||Indemnización - III
2116942037|f2e69faf||Golpear a los oponentes carga la espada a partir de $S$ golpes. Cuando la espada se carga, emana energía roja, que puede liberarse mediante un ataque potente. Este ataque drena la energía del usuario y si no hay energía disponible, en su lugar drena la Vitalidad.
2116942038|0cd9e187||Espada de acero que se usa para luchar contra humanos y cualquier monstruo no sobrenatural.
2116942039|a2b4930d||Espada de plata que se utiliza para luchar contra monstruos sobrenaturales. El metal blando evita que la hoja sea duradera.
2116942040|942892ef||Equipo pesado, que ofrece muy buena protección y gran equilibrio a costa de la agilidad. Muy duradera.
2116942041|320650a7||Equipamiento de peso medio que ofrece un buen equilibrio entre protección, agilidad y equilibrio. Moderadamente duradera.
2116942042|736e017e||Equipo ligero, ofrece poca protección física y cambia casi todo el equilibrio por agilidad. Algo duradera.
2116942043|c8ea3c4f||Cargas de espada
2116942044|db0a0771||Mientras haya al menos un punto de energía disponible, la espada se carga con ataques rápidos a partir de $S$ golpes. Una vez cargada, los ataques fuertes liberan la carga en una explosión helada y congela a los enemigos.
2116942045|1f59d012||Witcher 3 - Enhanced Edition
2116942046|11bda277||Alternar alijo
2116942047|d83e088e||Transferir varios
2116942048|ffdb9c99||Adrenalina
2116942049|e2e48f8a||Sentidos agudizados
2116942050|003339b1||Mods
2116942051|2e4bfe5f||W3EE
2116942052|227edec9||Jugabilidad
2116942053|e263f45a||Controles
2116942054|05c0653e||Predeterminado
2116942055|b7916a78||Vainilla
2116942056|4848c3e3||Orientación automática
2116942057|5725a47a||Modo de selección de objetivo
2116942058|72e16c8f||Mejorado
2116942059|5725a47b||Modo de orientación manual
2116942060|8156cc19||Orientación de la cámara
2116942061|b673fd63||Objetivo de movimiento
2116942062|ef7cf647||Postura de combate dinámica
2116942063|da83e4f8||Opciones de orientación
2116942064|a9ebc48a||Teclado
2116942065|4dd2177f||Controlador
2116942066|12f8bf60||Peso de la dirección de la cámara
2116942067|28283baa||Dirección de movimiento Peso
2116942068|fda62dd5||Orientación Dirección Peso
2116942069|cf4bb61a||Histéresis (fijación del objetivo)
2116942070|1da29a65||Solo comprobar objetivos en pantalla
2116942071|e9e35305||Señal apuntando con cámara
2116942072|a210f660||Deshabilitar el bloqueo de la cámara en Hard-Lock
2116942073|539da705||Combate
2116942074|9b4bf62f||Remolino
2116942075|cdedee25||Remolino - Uso de vigor
2116942076|e98dd48e||Remolino - Multiplicador de daño
2116942077|2e4a754c||Desgarrar
2116942078|d4201fa8||Desgarrar - Uso de vigor
2116942079|c96e1778||Desgarrar - Daño de vigor múltiple
2116942080|a9a1d36b||Desgarrar - Multiplicador de daños
